sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,45,,良好,1.7,0.47,3.3,24.6,30,16,27.7,34,6.3,0.2,318,"2023/06/17 19:00:00",0.3,10,22,1,121.760056,25.129167,1
汐止,新北市,45,,良好,0.4,0.77,2.5,15.6,28,14,27.4,38.3,10.9,0.6,75,"2023/06/17 19:00:00",0.5,12,23,0,121.64081,25.06624,2
萬里,新北市,38,,良好,0.6,0.31,17.2,26.2,25,16,10.1,11.6,1.5,0.3,242,"2023/06/17 19:00:00",0.2,11,18,1,121.689881,25.179667,3
新店,新北市,20,,良好,0.3,0.48,4.4,16.3,25,5,12.1,17.3,5.2,1.4,172,"2023/06/17 19:00:00",0.4,6,18,0,121.537778,24.977222,4
土城,新北市,29,,良好,0.4,0.55,1.7,14.3,27,9,16.8,22.5,5.7,0.5,122,"2023/06/17 19:00:00",0.4,9,22,0,121.451861,24.982528,5
板橋,新北市,36,,良好,0.2,0.63,16,23.5,21,10,20.2,21.9,1.7,0.5,128,"2023/06/17 19:00:00",0.5,11,22,0,121.458667,25.012972,6
新莊,新北市,44,,良好,1.3,0.66,12.8,27.1,40,19,20,21.4,1.3,0.2,264,"2023/06/17 19:00:00",0.5,13,30,0,121.4325,25.037972,7
菜寮,新北市,52,細懸浮微粒,普通,0.8,0.8,20.8,30.6,26,19,30.5,32.8,2.2,1.2,279,"2023/06/17 19:00:00",0.6,15,22,0,121.481028,25.06895,8
林口,新北市,49,,良好,0.3,0.28,33.8,29.7,29,20,10.7,11.2,0.4,0.3,296,"2023/06/17 19:00:00",0.3,15,22,0,121.36548982,25.07798949,9
淡水,新北市,48,,良好,1,0.56,19.8,35.5,36,17,19.4,21.4,1.9,,,"2023/06/17 19:00:00",0.3,14,28,0,121.449239,25.1645,10
士林,臺北市,57,細懸浮微粒,普通,1.3,0.69,28,40.1,33,22,29.8,31.3,1.5,0.4,291,"2023/06/17 19:00:00",0.6,18,30,0,121.51666356,25.10334003,11
中山,臺北市,52,二氧化氮,普通,0.6,0.84,10.2,24.1,25,17,33.9,37,3,0.5,166,"2023/06/17 19:00:00",0.7,15,27,0,121.526528,25.062361,12
萬華,臺北市,54,二氧化氮,普通,2,1.01,6,23.6,22,12,35.3,43.5,8.1,0.7,125,"2023/06/17 19:00:00",0.7,12,21,1,121.507972,25.046503,13
古亭,臺北市,43,,良好,0.2,0.67,3.9,18.7,21,16,24.4,30.7,6.2,0.8,206,"2023/06/17 19:00:00",0.5,13,18,0,121.529556,25.020608,14
松山,臺北市,50,,良好,1.1,0.82,7.1,16.8,21,15,30.7,44.8,14,0.3,43,"2023/06/17 19:00:00",0.6,12,24,1,121.578611,25.05,15
大同,臺北市,64,細懸浮微粒,普通,1.7,2.99,2.7,8.9,40,18,48,102.6,54.6,-,-,"2023/06/17 19:00:00",2.6,20,38,1,121.51342074,25.06331455,16
桃園,桃園市,56,細懸浮微粒,普通,1.1,0.35,31.7,28.2,33,20,13.1,13.9,0.7,0.3,296,"2023/06/17 19:00:00",0.4,17,24,1,121.30500531,24.9947107,17
大園,桃園市,37,,良好,0.5,0.24,32.6,35.9,21,12,7,8,0.9,1.9,244,"2023/06/17 19:00:00",0.2,11,21,0,121.20251473,25.06100357,18
觀音,桃園市,36,,良好,0.6,0.12,33.3,34.7,20,7,4,4.4,0.4,1.9,247,"2023/06/17 19:00:00",0.1,11,19,0,121.08283092,25.03556747,19
平鎮,桃園市,38,,良好,0.6,0.28,19.2,29.1,18,14,13,13.9,0.8,1.3,271,"2023/06/17 19:00:00",0.3,11,19,0,121.203986,24.952786,20
龍潭,桃園市,28,,良好,0.6,0.34,18.4,22.8,22,11,12.3,19,6.7,0.2,124,"2023/06/17 19:00:00",0.2,8,18,,121.21645772,24.86400048,21
湖口,新竹縣,34,,良好,0.5,0.17,26,32.4,17,10,5.4,6.2,0.7,1.8,238,"2023/06/17 19:00:00",0.2,10,17,0,121.03886894,24.90009696,22
竹東,新竹縣,30,,良好,0.2,0.26,24.5,23.1,16,11,6.3,7.1,0.8,0.7,86,"2023/06/17 19:00:00",0.1,9,17,0,121.08895493,24.74091408,23
新竹,新竹市,28,,良好,0.3,0.32,18.8,30.7,14,5,9.6,10.8,1.2,1.9,219,"2023/06/17 19:00:00",0.3,6,17,0,120.97236752,24.8056356,24
頭份,苗栗縣,34,,良好,0.4,0.25,17.8,30.7,14,12,6.6,8.1,1.5,2.1,249,"2023/06/17 19:00:00",0.2,10,17,0,120.89869286,24.69690679,25
苗栗,苗栗縣,28,,良好,0.7,0.2,19.4,30.6,17,7,5.3,6.3,1,2.8,191,"2023/06/17 19:00:00",0.2,6,16,1,120.82011468,24.56499183,26
三義,苗栗縣,32,,良好,1.4,0.16,16,22.2,19,11,5,5.9,0.9,1.6,230,"2023/06/17 19:00:00",0.1,9,19,1,120.75956754,24.38248443,27
豐原,臺中市,35,,良好,1.9,0.28,14.5,19.8,19,10,6.7,8.4,1.7,1.6,169,"2023/06/17 19:00:00",0.2,10,13,1,120.74252414,24.25699731,28
沙鹿,臺中市,25,,良好,0.5,0.42,7.3,23.5,16,5,15.2,19.9,4.7,0.2,137,"2023/06/17 19:00:00",0.2,4,15,0,120.568794,24.225628,29
大里,臺中市,38,,良好,1.4,0.69,5.4,19.3,27,8,23.4,30.8,7.4,0.6,269,"2023/06/17 19:00:00",0.3,8,21,1,120.67844444,24.09961111,30
